Domain,Location on Site
1800flowers.com,staging-corporategifts.1800flowers.com;corporategifts.1800flowers.com;qa-corporategifts.1800flowers.com
baseballexpress.com,baseballexpress.com
bestproducts.com,shop.bestproducts.com;mcstaging-shop.bestproducts.com
bicycling.com,shop.bicycling.com;mcstaging-shop.bicycling.com
bigfishgames.com,int-shop.bigfishgames.com;st-shop.bigfishgames.com;shop.bigfishgames.com
bobsredmill.com,bobsredmill.com
boostmobile.com,my.boostmobile.com/*
burpee.com,burpee.com
canon.com,usa.canon.com/*
caranddriver.com,store.caranddriver.com/*;mcstaging-shop.caranddriver.com/*
carters.com,ae.carters.com
casio.com,casio.com/*
cdkeys.com,cdkeys.com
centralrestaurant.com,centralrestaurant.com
champion.com,champion.com
chanel.com,chanel.com/*;hk-backend-staging-eshop.chanel.com;hk-backend-eshop.chanel.com
charbroil.com,charbroil.com
chrysler.com,collection.chrysler.com
cisco.com,merchandise-store.cisco.com;merchandise.cisco.com;mcstaging-merchandise.cisco.com
cjponyparts.com,cjponyparts.com
classicfirearms.com,classicfirearms.com
coach.com,malaysia.coach.com;taiwan.coach.com;origin-prod-taiwan.coach.com;origin-stg-taiwan.coach.com;mcprod.id.coach.com;origin-stg-malaysia.coach.com;stg-taiwan.coach.com;stg-malaysia.coach.com;origin-prod-malaysia.coach.com;id.coach.com;mcstaging.id.coach.com;thailand.coach.com;mcstaging.thailand.coach.com
coachoutlet.com,coachoutlet.com
coca-cola.com,us.coca-cola.com/*;staging.us.coca-cola.com/*
comed.com,lto.comed.com/*
conns.com,conns.com
cricut.com,cricut.com
katespade.com,singapore.katespade.com;stg-malaysia.katespade.com;stg-singapore.katespade.com;malaysia.katespade.com
kitco.com,mcstaging-online.kitco.com/*;mcprod-online.kitco.com
knfilters.com,knfilters.com
knifecenter.com,integration.knifecenter.com;prod.knifecenter.com
native-instruments.com,native-instruments.com
naturehills.com,naturehills.com
nejm.org,cdf.nejm.org;store.nejm.org/*
nespresso.com,nespresso.com
netdna-ssl.com,asp-bg-web-1-pavinthewaysoftw.netdna-ssl.com/*
nike.com,mx.magento-na-thevan-epam-global-uat.nike.com;jp.magento-na-thevan-epam-global-uat.nike.com;origin-magento-na-thevan-epam-global-uat.nike.com;sg.magento-na-thevan-epam-global-uat.nike.com;jp.magento-na-thevan-epam-global-qa.nike.com;jp.magento-na-thevan-epam-global-dev.nike.com;mx.magento-na-thevan-epam-global-dev.nike.com;mx.magento-na-thevan-epam-global-qa.nike.com;magento-na-qa2-qa.nike.com;magento-na-thevan-qa2-qa.nike.com/*;magento-na-epam-dev2.nike.com/*;magento-na-epam-jp2-dev2.nike.com/*;magento-na-thevan-qa.nike.com/*;magento-na-brandmarketing-dev.nike.com;magento-na-dev.nike.com;magento-na-qaauto.nike.com;magento-na-thevan-uat.nike.com/*;magento-na-uat.nike.com;origin-magento-na-thevan-epam-global-qa.nike.com;origin-magento-na-qa2-qa.nike.com;origin-magento-na-qa.nike.com;magento-na-thevan-qaauto.nike.com/*;origin-magento-na-qaauto.nike.com;origin-magento-na-uat.nike.com;origin-magento-na-api-dev.nike.com;origin-magento-na-dev.nike.com;sg.magento-na-thevan-epam-global-dev.nike.com;sg.magento-na-thevan-epam-global-qa.nike.com;campteeqa.nike.com/*
nintendo.com,store.nintendo.com;devkit-ecomm.noa.nintendo.com/*;magento.noa.nintendo.com;staging-store2.nintendo.com
nolo.com,nolo.com/*;store.nolo.com/*
onehanesplace.com,onehanesplace.com
opry.com,shop.opry.com;store.opry.com;demo.opry.com;mcstaging-store.opry.com
teva.com,hk.teva.com
thegreatcourses.com,thegreatcourses.com
tieks.com,tieks.com
tivo.com,tivo.com/*;mcstaging.store.tivo.com;store.tivo.com;mcstaging2.store.tivo.com;agent.mcstaging.store.tivo.com
toasttab.com,swag.toasttab.com
toddstarnes.com,merch.toddstarnes.com
tommy.com,au.tommy.com;ar-ae.tommy.com;en-ae.tommy.com;gr.tommy.com;en-kw.tommy.com;ar-sa.tommy.com;en-bh.tommy.com;ro.tommy.com
toyota.com,mcprod.toyota.com/*;mcstaging2.toyota.com
truevalue.com,truevalue.com
