Domain,Location on Site
banjoteacher.com,banjoteacher.com
bayer.com,tienda.bayer.com
bearcatwarehouse.com,bearcatwarehouse.com
bget.ru,fr79167e.bget.ru;gekres.bget.ru;infostk6.bget.ru;u47117eh.bget.ru;jegor229.bget.ru;kovrofyk.bget.ru
bitsofwar.com,bitsofwar.com
bows-n-ties.com,bows-n-ties.com
bpost.be,mappi.bpost.be/*;plugandsend.bpost.be/*
brenntag.com,giveaways.brenntag.com/*
brswimwear.com,brswimwear.com
btosports.com,btosports.com
carrefour.fr,abonnement.carrefour.fr
chateauversailles.fr,boutique.chateauversailles.fr;galeriedesrois.chateauversailles.fr/*;bouquetdelareine.chateauversailles.fr/*;galeriedesreines.chateauversailles.fr
cheap-neckties.com,cheap-neckties.com
clothingmonster.com,clothingmonster.com
coe.int,edoc.coe.int;book.coe.int
cognac-expert.com,cognac-expert.com
collectorsfirearms.com,collectorsfirearms.com
concept2.com,shop-uk.concept2.com;shop.concept2.com;shop-de.concept2.com;shop-at.concept2.com;shop-ch.concept2.com;shop-nl.concept2.com;shop-it.concept2.com;shop-au.concept2.com
courrierinternational.com,rec-boutiquevpc.courrierinternational.com;stg-boutiquevpc.courrierinternational.com
creation.com,usstore.creation.com;austore.creation.com;sgstore.creation.com;ukstore.creation.com;nzstore.creation.com;castore.creation.com;zastore.creation.com
cryptopay.me,prestashop-sandbox.cryptopay.me
crytek.com,eu-shop.crytek.com;shop.crytek.com
ctbuh.org,store.ctbuh.org
cuni.cz,shop.cuni.cz
karrisguns.com,karrisguns.com
kitsuperstore.com,kitsuperstore.com
kittensplaypen.net,kittensplaypen.net
kpopmart.com,kpopmart.com
kpoptown.com,kpoptown.com
nata.org,shop.nata.org
naturesflavors.com,naturesflavors.com
nin-nin-game.com,nin-nin-game.com
nirvanashop.com,nirvanashop.com
norsecorp.com,norsecorp.com/*
novaposhta.ua,shop.novaposhta.ua;nps.novaposhta.ua
obdeleven.com,obdeleven.com
ocu.org,tienda.ocu.org
oldforgeny.com,oldforgeny.com/*
onlyhangers.com,onlyhangers.com
organic-creations.com,organic-creations.com
osr.org,osr.org/*
ouest-france.fr,voilesetvoiliers.ouest-france.fr/*
outlawaudio.com,outlawaudio.com
theinternationalman.com,shop.theinternationalman.com
theratape.com,theratape.com
thinksai.com,ios.thinksai.com/*
three.ie,three.ie/*
tous.com,forum.tous.com/*
toyhax.com,toyhax.com
turbocad.com,turbocad.com
